업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시(입찰마감일시),공동수급,투찰
공사,20190350997-00,긴급,이월전기전자농공단지 보수사업,충청북도 진천군,충청북도 진천군,지역제한,2019/03/31 21:40(2019/04/09 10:00),,마감
공사,20190350991-00,긴급,진천읍게이트볼장 조성사업(전기분야),충청북도 진천군,충청북도 진천군,지역제한,2019/03/31 21:06(2019/04/09 15:00),,마감
공사,20190350882-00,긴급,동천동 공영주차장 조성 공사(전기),경상북도 경주시,경상북도 경주시,지역제한,2019/03/31 15:25(2019/04/10 15:00),,마감
공사,20190350794-00,긴급,길동복합청사 신축 전기공사 시행(긴급),서울특별시 강동구,서울특별시 강동구,제한경쟁,2019/03/30 20:28(2019/04/08 10:30),,마감
공사,20190350792-00,긴급,길동복합청사 신축 소방전기공사 시행(긴급),서울특별시 강동구,서울특별시 강동구,제한경쟁,2019/03/30 19:45(2019/04/08 10:00),,마감
공사,20190350738-00,일반,남면 초곡1리(삼흥중전기) 배수로 정비공사,경상북도 김천시,경상북도 김천시,수의(소액),2019/03/30 12:34(2019/04/05 12:00),,마감
공사,20190350715-00,긴급,내장상동 디자인거리 조성 전기공사,전라북도 정읍시,전라북도 정읍시,지역제한,2019/03/30 10:54(2019/04/08 14:00),,마감
용역,20190350571-00,긴급,시·유관기관 직장운동경기부 통합숙소 건립 전기공사 감리용역,대전광역시,대전광역시,제한경쟁,2019/03/29 18:44(2019/04/04 10:00),,마감
용역,20190350467-00,일반,제주고 특별교실 증축 전기, 통신, 소방공사 설계용역 수의계약 견적제출 안내 공고,제주특별자치도교육청,제주특별자치도교육청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/29 18:03(2019/04/04 10:00),마감,마감
공사,20190350431-01,변경,어린이 교통안전 체험교육장 조성공사(전기),강원도 속초시,강원도 속초시,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/29 17:53(2019/04/04 10:00),,마감
용역,20190350442-00,일반,2019년도 행원연안풍력발전기(WinDS3000) 정기점검 및 경상정비(단가계약) 용역(재공고),제주에너지공사,제주에너지공사,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/29 17:52(2019/04/05 10:00),,마감
공사,20190350437-00,일반,신안면 중촌배수지 전기공사,경상남도 산청군,경상남도 산청군,지역제한,2019/03/29 17:47(2019/04/04 10:00),,마감
공사,20190350216-00,긴급,북구 청소년수련관 기능보강사업 전기공사,광주광역시 북구,광주광역시 북구,지역제한,2019/03/29 17:45(2019/04/04 10:00),,마감
공사,20190350420-00,일반,가축분뇨공공처리시설 개선사업(전기),충청남도 논산시,충청남도 논산시,지역제한,2019/03/29 17:41(2019/04/08 14:00),,마감
공사,20190350083-00,긴급,양재 R&D 혁신허브 추가공간 리모델링 공사(전기,소방전기),서울특별시,서울특별시,제한경쟁,2019/03/29 17:40(2019/04/04 14:00),마감,마감
용역,20190350157-00,일반,제주제일고 특별교실 증축 전기, 통신, 소방공사 설계용역 수의계약 견적제출 안내 공고,제주특별자치도교육청,제주특별자치도교육청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/29 17:20(2019/04/04 10:00),마감,마감
용역,20190333199-00,일반,2019년 교통신호기 전기, 통신선로 배선도 DB 구축,조달청,충청북도 청주시,제한(총액)협상에의한계약,2019/03/29 16:59(2019/04/23 10:00),마감,마감
공사,20190350204-00,긴급,어울림복지센터 건립 전기공사,서울특별시 금천구,서울특별시 금천구,제한경쟁,2019/03/29 16:37(2019/04/04 15:00),,마감
용역,20190350173-00,일반,세종초 교육환경개선공사 전기공사 설계용역,경기도교육청 경기도여주교육지원청,경기도교육청 경기도여주교육지원청,수의(총액)소액수의,2019/03/29 16:27(2019/04/04 10:00),,마감
물품,W190227010-01,일반,[2차공고] 월성 2발 전기팀 센서 등 11품목 구매 입찰,한국수력원자력주식회사,한국수력원자력(주) 관리본부,일반(총액),2019/03/29 16:00(2019/04/09 11:30),,한국수력원자력주식회사 이동
공사,20190350076-00,일반,창원중앙지점 이전에 따른 레이아웃 전기공사,중소기업은행,중소기업은행,지명경쟁,2019/03/29 15:55(2019/04/05 10:00),,마감
용역,E011902448-00,일반,19년 송배전 기자재 원가계산용역,한국전력공사,공사용역부,제한(총액),2019/03/29 15:47(2019/04/09 14:00),,한국전력공사 이동
물품,A101902032-00,일반,OP-A Motor 전기적 검사 및 진동교정,한전케이피에스주식회사,발전전력사업본부 서인천사업처,수의(총액),2019/03/29 15:42(2019/03/29 16:34),,한전케이피에스주식회사 이동
공사,20190349948-00,일반,평창 방아다리 권역단위종합정비 氣UP(기업) 힐링센터 전기공사,한국농어촌공사 강원지역본부 원주지사,한국농어촌공사 강원지역본부 원주지사,수의(소액),2019/03/29 15:23(2019/04/04 12:00),,마감
공사,20190349650-00,일반,2019년 충정로역 기능실 석면제거에 따른 전기공사,서울교통공사,서울교통공사,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/29 15:17(2019/04/05 10:00),,마감
용역,20190349625-00,일반,봉선중 등 2교(금호중) 냉난방시설개선 전기공사 설계용역 수의계약 안내공고,광주광역시교육청 광주광역시서부교육지원청,광주광역시교육청 광주광역시서부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/29 15:01(2019/04/04 10:00),,마감
공사,20190347458-00,긴급,옥산초 다목적강당 증축 및 기타 전기공사,전라북도교육청 전라북도군산교육지원청,전라북도교육청 전라북도군산교육지원청,제한경쟁,2019/03/29 14:44(2019/04/04 10:00),,마감
공사,20190349837-00,일반,삼척문화예술회관 공연장 증.개축 공사(전기공사),강원도 삼척시 문화예술센터,강원도 삼척시 문화예술센터,지역제한,2019/03/29 14:43(2019/04/03 15:00),,마감
용역,20190349566-00,재입찰,도산초 냉난방시설개선 전기공사 설계용역 수의견적 제출 안내 공고,광주광역시교육청 광주광역시서부교육지원청,광주광역시교육청 광주광역시서부교육지원청,수의(총액)소액수의,2019/03/29 14:42(2019/04/04 14:00),,마감
공사,20190349791-00,일반,춘천교도소 여성 수용동 증축 전기공사,법무부 서울지방교정청 춘천교도소,법무부 서울지방교정청 춘천교도소,제한경쟁,2019/03/29 14:32(2019/04/05 10:00),,마감
공사,20190347408-00,일반,나포중 특별교실동 개축 전기공사,전라북도교육청 전라북도군산교육지원청,전라북도교육청 전라북도군산교육지원청,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/29 14:32(2019/04/04 10:00),,마감
용역,E011902445-00,일반,발전기 고전압 시험장비 운송 단가계약,한국전력공사,경영지원부,제한(단가),2019/03/29 14:28(2019/04/08 14:00),,한국전력공사 이동
공사,20190349592-00,일반,음봉면 산동2리 마을회관(경로당) 신축공사(전기),충청남도 아산시 음봉면,충청남도 아산시 음봉면,수의(소액),2019/03/29 14:08(2019/04/04 15:00),,마감
공사,20190348962-00,긴급,고려대학교안산병원 1층 산부인과 외래 리모델링 공사(전기),고려대부속안산병원,고려대부속안산병원,제한경쟁,2019/03/29 14:06(2019/04/12 10:00),,마감
용역,20190349648-00,긴급,업무용 전기차량 운용리스,한국고용정보원,한국고용정보원,제한(총액),2019/03/29 14:03(2019/04/08 10:00),,마감
물품,2019032814001-00,일반,(정정공고)방폭형 디지털 무전기 등 구매,한국가스공사,한국가스공사,제한(총액),2019/03/29 13:44(2019/04/08 09:00),,한국가스공사 이동
공사,20190349547-00,긴급,산달분교 캠핑장 리모델링 전기공사,경상남도 거제시,경상남도 거제시,제한경쟁,2019/03/29 13:26(2019/04/05 10:00),,마감
공사,20190349561-00,일반,주얼팰리스 실내 조명시설 전기공사,전라북도 익산시,전라북도 익산시,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/29 13:25(2019/04/04 14:00),,마감
공사,20190349252-00,일반,부안중 외 2교(줄포초,변산초)조명시설개선 및 기타 전기공사,전라북도교육청 전라북도부안교육지원청,전라북도교육청 전라북도부안교육지원청,지역제한,2019/03/29 12:53(2019/04/08 10:00),,마감
물품,A061900087-00,일반,#5,6 유기성 고형연료 혼소설비 고압진공차단기 구매_2발전기부,한국남동발전(주),사업소 삼천포발전본부,수의(총액),2019/03/29 12:22(2019/04/01 10:00),,한국남동발전(주) 이동
민간,20190349354-00,일반,부산-김해경전철 계전기류 3종 구매,부산-김해경전철주식회사,부산-김해경전철주식회사,제한경쟁,2019/03/29 11:23(-),,
공사,201903290503-00,일반,서울사무소 이전 리모델링 및 원복 전기공사(정정공고),(주)강원랜드,강원랜드, ,2019/03/29 11:20(2019/04/10 17:00),,(주)강원랜드 이동
물품,20190347132-00,일반,가칭 창의예술고 신축 전기공사 관급자재 자동제어장치 구입,조달청,전라남도교육청,제한(총액),2019/03/29 11:18(2019/04/11 10:00),,마감
민간,20190349311-00,일반,농어촌형승마시설 신축공사(전기),일송농장,일송농장,제한경쟁,2019/03/29 11:12(2019/04/04 12:00),,마감
물품,9215386-00,일반,총액)전기기관차용 유리닦이 1점,한국철도공사,한국철도공사,수의(총액),2019/03/29 11:10(2019/04/10 10:00),,한국철도공사 이동
물품,9215423-00,일반,전기기관차용 조명장치 등 5점,한국철도공사,한국철도공사,수의(총액),2019/03/29 11:09(2019/04/10 10:00),,한국철도공사 이동
공사,20190346695-01,취소,대서중학교 학교밥상시설개선 및 기타 전기공사,대구광역시교육청 대구광역시남부교육지원청,대구광역시교육청 대구광역시남부교육지원청,제한경쟁,2019/03/29 11:07(2019/04/05 10:00),,
물품,20190349186-00,일반,2019년 경기도기술학교 전기에너지학과 장비구매,경기도일자리재단,경기도일자리재단,제한(총액),2019/03/29 11:06(2019/04/08 10:00),,마감
물품,20190348942-00,일반,고령군 업무용 전기자동차 구입,경상북도 고령군,경상북도 고령군,일반(총액),2019/03/29 10:59(2019/04/08 10:00),,마감
물품,20190342827-00,일반,다채널 전기화학 분석기 구매(재공고),대구경북과학기술원,대구경북과학기술원,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/29 10:37(2019/04/03 11:00),,마감
용역,E011902428-00,일반,인천지역 전기공급시설 전력구공사(아암분기) 설계용역,한국전력공사,재무자재부,일반(총액),2019/03/29 10:21(2019/05/13 10:00),,한국전력공사 이동
공사,20190349072-00,긴급,표선초 유치원 증축 전기공사 입찰 공고(긴급),제주특별자치도교육청 서귀포시교육지원청,제주특별자치도교육청 서귀포시교육지원청,제한경쟁,2019/03/29 10:04(2019/04/04 10:30),,마감
공사,20190349111-00,일반,조천 주민교류센터 조성 전기공사,제주특별자치도 제주시,제주특별자치도 제주시,지역제한,2019/03/29 10:04(2019/04/08 15:00),,마감
물품,A041900033-00,일반,하동 석탄취급설비 1~8호기 디지털보호계전기 및 ECMS 설치조건부 구매,한국남부발전주식회사,하동발전본부,수의(총액),2019/03/29 09:54(2019/04/05 10:00),,한국남부발전주식회사 이동
공사,20190349035-00,일반,우수토실 성능개선 전기공사,경기도 평택시 상하수도사업소,경기도 평택시 상하수도사업소,지역제한,2019/03/29 09:38(2019/04/08 10:00),,마감
