,URL 주소,댓글작성자명,댓글작성일자,댓글 내용
1,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              名もなき人物
            ",2개월 전,"アイドルという曲名にそぐわない不気味さを兼ね備えた｢推しの子｣という作品をしっかり取入れた神曲
控えめに言って最強"
2,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              Roselia Hanabi
            ",3일 전,"Billboard No.1 congratulations 
Yoasobi “Aidoru”"
3,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              YSK
            ",2일 전(수정됨),"3:08 
「あぁ、やっと言えた」
「これは絶対嘘じゃない」「愛してる」
ここが1番すきだな"
4,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              みかんちゃんです
            ",1일 전,「何を聞かれてものらりくらり」のところのイラストが可愛すぎて何回も繰り返し見てられる
5,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              めいぷる
            ",2일 전,こんなに早く1億再生超えるのは推しの子とYOASOBIの人気を証明してるな
6,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              るーとびあ3世
            ",2일 전,転調に次ぐ転調、その曲を作る、歌い切るYOASOBIが凄すぎる。
7,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              みかんぼむ
            ",1개월 전,アイドルがかわいい曲を歌うんじゃなくて、アイドルという存在自体をここまで正確に可愛く壮大に表現するYOASOBI最高
8,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              y
            ",2일 전,"愛してるって嘘で積むキャリア
って歌詞天才だよなまじで"
9,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              みつかん
            ",1일 전,"曲自体も神だし、いくらちゃんの歌い方が一番しっくりくる。

結論：本家最高"
10,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              reina ousaka
            ",2일 전,アニメを見てても、OPは絶対に飛ばさないくらい好き
11,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              ハエトリグモ
            ",2일 전,"何回聴いても鳥肌が止まらない神曲
アニメ見てるからさらに感慨深いものが…"
12,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              名無し
            ",1일 전,"初のオープニングテーマをルビーとアクアじゃなくて、アイにフォーカスを当てたの流石すぎる。
しかも一曲だけでアイの人生の全てを詰め込んだAyaseさんの作曲力、それを完璧に歌い上げたikuraさんの歌唱力も凄すぎる。
YOASOBIってまだまだ若いから、無限大の可能性を秘めているって思うとこれからがさらに楽しみだなぁ。"
13,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              みい
            ",1개월 전,"アイドルを聴く→推しの子を観る→アイドルを聴く
ってしたら泣いてた
歌詞にストーリー詰め込まれすぎてて最高です"
14,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              美しい鬱
            ",2일 전,誰がなんと言おうとこれは神曲。
15,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              Heart.s
            ",2일 전,観るほど聴くほど｢アイドル｣が好きになる
16,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              徳島のシンジ君
            ",2일 전(수정됨),"全米が認めた完璧なアイドル！
中毒性の高い曲が世界を席巻するぞ"
17,https://www.youtube.com/watch?v=ZRtdQ81jPUQ&pp=ygUHeW9hc29iaQ%3D%3D,"
              スズキ  DAITO
            ",2일 전,もう神曲が何曲もあるのにまだ22歳って所がまだまだ可能性があって本当推せる
